0,europäisch
1,nächster
2,verschieden
3,zahlreich
4,jung
5,anderer
6,stehend
7,friedlich
8,schwierig
9,derartig
10,gemeinsam
11,erster
12,vereinigt
13,französisch
14,gesamt
15,ganz
16,konstitutionell
17,letzter
18,vergangen
19,juristisch
20,wichtig
21,gut
22,neu
23,finnisch
24,portugiesisch
25,niederländisch
26,einzig
27,groß
28,bestimmt
29,spanisch
30,zuständig
31,vorangegangen
32,lieb
33,deutlich
34,heutig
35,entsprechend
36,endgültig
37,sozialdemokratisch
38,strategisch
39,politisch
40,legislativ
41,zweiter
42,mündlich
43,langfristig
44,vernünftig
45,sozialistisch
46,weit
47,klar
48,eindeutig
49,früh
50,eigen
51,zusätzlich
52,lang
53,übrig
54,gefährlich
55,verehrt
56,national
57,hoch
58,gering
59,kompliziert
60,angenommen
61,spezifisch
62,sonstig
63,klein
64,finanziell
65,einzeln
66,vorliegend
67,ausgezeichnet
68,wesentlich
69,gewiß
70,international
71,kommend
72,besonderer
73,belgisch
74,ernst
75,1.
76,eigentlich
77,angemessen
78,zunehmend
79,einheitlich
80,verbindlich
81,technisch
82,dritter
83,konstruktiv
84,bestehend
85,vorgeschlagen
86,kurz
87,sensibel
88,echt
89,vorrangig
90,effektiv
91,streng
92,aktuell
93,verstärkt
94,geehrt
95,niedrig
96,gemeinschaftlich
97,positiv
98,möglich
99,funktionierend
100,vereint
101,einfach
102,notwendig
103,geltend
104,unterschiedlich
105,konkret
106,gleich
107,stark
108,parlamentarisch
109,beträchtlich
110,gewaltig
111,wirtschaftlich
112,britisch
113,privat
114,wissenschaftlich
115,staatlich
116,arm
117,erneuerbar
118,geleistet
119,sozial
120,lokal
121,potentiell
122,genannt
123,umfassend
124,ländlich
125,fehlend
126,grundlegend
127,allgemein
128,ausgewogen
129,optimal
130,regional
131,schnell
132,wirksam
133,wirklich
134,mittlerer
135,öffentlich
136,gesellschaftlich
137,umfangreich
138,zentral
139,betreffend
140,nachhaltig
141,bürokratisch
142,halb
143,persönlich
144,breit
145,flexibel
146,erfolgreich
147,praktisch
148,interessant
149,entwickelt
150,negativ
151,ausreichend
152,vorgelegt
153,enthalten
154,integriert
155,städtisch
156,jeweilig
157,festgelegt
158,äußerer
159,frei
160,bedeutend
161,alt
162,laufend
163,ein
164,unmittelbar
165,grundsätzlich
166,geographisch
167,vorhanden
168,territorial
169,ordnungsgemäß
170,gewählt
171,verbunden
172,riesig
173,entscheidend
174,benachteiligt
175,bisherig
176,enorm
177,diesbezüglich
178,mittelständisch
179,innovativ
180,wachsend
181,griechisch
182,richtig
183,derzeitig
184,effizient
185,schwerwiegend
186,reich
187,menschlich
188,sogenannter
189,doppelt
190,betroffen
191,periodisch
192,real
193,amsterdamer
194,global
195,technologisch
196,wertvoll
197,tiefgreifend
198,modern
199,aktiv
200,historisch
201,speziell
202,geeignet
203,künftig
204,genau
205,kritisch
206,gerecht
207,angekündigt
208,ehrgeizig
209,folgend
210,voll
211,gegenseitig
212,schlecht
213,jetzig
214,ökonomisch
215,rein
216,offen
217,rechtlich
218,deutsch
219,knapp
220,kurzfristig
221,liberal
222,dänisch
223,bevorstehend
224,ökologisch
225,einzelstaatlich
226,gegenwärtig
227,uneingeschränkt
228,italienisch
229,vorgesehen
230,kulturell
231,extern
232,intern
233,erforderlich
234,tief
235,gegeben
236,unabhängig
237,schwer
238,direkt
239,vollständig
240,erwähnt
241,weltweit
242,erheblich
243,englisch
244,interinstitutionell
245,sicher
246,hervorragend
247,institutionell
248,strafrechtlich
249,organisiert
250,transnational
251,innerer
252,befindlich
253,zukünftig
254,qualifiziert
255,demokratisch
256,vorherig
257,interregional
258,förderfähig
259,3.
260,nah
261,ähnlich
262,österreichisch
263,nuklear
264,abgereichert
265,grenzüberschreitend
266,ethnisch
267,amtierend
268,14.
269,palästinensisch
270,dauerhaft
271,israelisch
272,arabisch
273,anhaltend
274,rassistisch
275,spekulativ
276,extrem
277,fremdenfeindlich
278,erst
