0,Ich
1,Parlament
2,Ihnen
3,Sie
4,Bürger
5,Mitgliedstaat
6,Aussprache
7,Tag
8,Das
9,Kollegin
10,Kollege
11,Sturm
12,Land
13,Union
14,Sich
15,Frau
16,Präsidentin
17,Es
18,Die
19,Zeit
20,Herr
21,Der
22,Monat
23,Kraft
24,Lösung
25,Situation
26,Initiative
27,Haus
28,Vorschlag
29,Mir
30,Artikel
31,Zusammenhang
32,Frage
33,Angelegenheit
34,Absatz
35,Art
36,Grundsatz
37,Dokument
38,Dem
39,Bericht
40,Dies
41,D.
42,Beginn
43,Staat
44,Woche
45,Mann
46,Mitglied
47,Linie
48,Institution
49,Wir
50,Dank
51,Sinn
52,Position
53,Fall
54,Uns
55,Alle
56,Gericht
57,Ihn
58,Zugang
59,Recht
60,Er
61,Ergebnis
62,Grundlage
63,Programm
64,Schutz
65,Beschluß
66,Wort
67,Jahr
68,Sorge
69,Punkt
70,Tagesordnung
71,Wahl
72,Mal
73,Nichts
74,Regel
75,Diese
76,Wert
77,Rechtsvorschrift
78,Anfrage
79,Stellungnahme
80,Dienst
81,Meinung
82,Sitzung
83,Entscheidung
84,Erklärung
85,Lage
86,Alles
87,Mehrheit
88,Vergangenheit
89,Gefahr
90,Was
91,EU
92,Kosten
93,Mensch
94,Prüfung
95,Konferenz
96,Präsident
97,Änderung
98,Fraktion
99,Kommission
100,Ziel
101,Antrag
102,Prodi
103,Partei
104,Europa
105,Zustimmung
106,Bedeutung
107,Organ
108,Vertrag
109,Tätigkeit
110,Vertrauen
111,Ihm
112,Entschließung
113,Abstimmung
114,Einige
115,Ansicht
116,Verantwortung
117,Rede
118,Form
119,Kenntnis
120,Februar
121,Grund
122,Vereinbarung
123,Den
124,Reform
125,Text
126,Beifall
127,Man
128,Debatte
129,Vorsitzend
130,Stimme
131,Anderen
132,Sache
133,Etwas
134,Prozeß
135,Strategie
136,Verfahren
137,Weg
138,Inhalt
139,Empfehlung
140,Name
141,Information
142,Steuer
143,Einen
144,Rat
145,Öffentlichkeit
146,Tat
147,Präsidentschaft
148,Mich
149,Abschluß
150,Möglichkeit
151,Ding
152,Protokoll
153,Auffassung
154,Ausschuß
155,Regionalpolitik
156,Verkehr
157,Standpunkt
158,Hinblick
159,Richtlinie
160,Gut
161,Straße
162,Kommissarin
163,Forderung
164,Person
165,Mehr
166,Sicherheit
167,Änderungsantrag
168,Regelung
169,Umsetzung
170,Zeitraum
171,Denen
172,Schaden
173,Katastrophe
174,Grenze
175,Antwort
176,Verfügung
177,Bereich
178,Thema
179,Zukunft
180,Erika
181,Diejenigen
182,Berichterstatter
183,Instrument
184,Viel
185,Bemerkung
186,Ihr
187,Problem
188,Aufmerksamkeit
189,Schiff
190,Kontrolle
191,%
192,Teil
193,Unternehmen
194,Schwierigkeit
195,Stelle
196,Reihe
197,Arbeit
198,Priorität
199,Gesellschaft
200,Deren
201,Hinsicht
202,Österreich
203,Rolle
204,Zusammenarbeit
205,Verbesserung
206,Bezug
207,Gruppe
208,Zeitpunkt
209,Beitrag
210,Abgeordneter
211,Dame
212,Anstrengung
213,Prinzip
214,Ausdruck
215,Uhr
216,Anwendung
217,Entwicklung
218,Diskussion
219,Gemeinschaft
220,Bestimmung
221,Vorschrift
222,Gebiet
223,Notwendigkeit
224,Transparenz
225,Interesse
226,Region
227,Schritt
228,Plenum
229,Sicht
230,Bedingung
231,Folge
232,Voraussetzung
233,Binnenmarkt
234,Tatsache
235,Auswirkung
236,Rahmen
237,Nation
238,Verhandlung
239,Weise
240,Koordinierung
241,Strukturfonds
242,Mitteilung
243,Leitlinie
244,Zweifel
245,Unterstützung
246,Erfolg
247,Regierung
248,Zahl
249,Sektor
250,Mittel
251,Berichterstatterin
252,Schlußfolgerung
253,Ort
254,Maßnahme
255,Politik
256,Arbeitsplatz
257,Dienstleistung
258,Erachten
259,Energie
260,Förderung
261,Beschäftigung
262,Schaffung
263,Zusammenhalt
264,Idee
265,Kommissar
266,Landwirtschaft
267,Herausforderung
268,Veränderung
269,Bevölkerung
270,Raum
271,Kultur
272,Aspekt
273,Dialog
274,Allem
275,Gemeinschaftsinitiative
276,Fonds
277,Verwaltung
278,Einsatz
279,Minister
280,Kommissionsmitglied
281,Verordnung
282,Durchführung
283,Unterschied
284,Randlage
285,Stadt
286,Projekt
287,Hilfe
288,Dessen
289,Vertreter
290,Arbeitslosigkeit
291,Gelegenheit
292,Ende
293,Dimension
294,Erfahrung
295,Ansatz
296,Verwendung
297,Beziehung
298,Einrichtung
299,Bekämpfung
300,Richtung
301,Amsterdam
302,Viele
303,Seite
304,Erweiterung
305,Absicht
306,Ebene
307,Beispiel
308,System
309,Aufgabe
310,Globalisierung
311,Wirtschaft
312,Beteiligung
313,Geld
314,Hand
315,Ausrichtung
316,Effizienz
317,Ausführung
318,Struktur
319,Bedenken
320,Eine
321,Maß
322,Einführung
323,Tampere
324,Frankreich
325,Fortschritt
326,Argument
327,Bemühung
328,Beihilfe
329,Behörde
330,Wille
331,Haltung
332,Leben
333,Arbeitnehmer
334,Wer
335,Wettbewerbspolitik
336,Währung
337,Weißbuch
338,Nr.
339,Regierungskonferenz
340,Wettbewerb
341,Markt
342,Zuständigkeit
343,Euro
344,Anerkennung
345,Entwurf
346,Million
347,Gerichtshof
348,Verbraucher
349,Verpflichtung
350,Welt
351,Volk
352,Diskriminierung
353,Integration
354,Solidarität
355,Brüssel
356,Freiheit
357,Irland
358,Entlastung
359,Umwelt
360,OLAF
361,Justiz
362,Entschließungsantrag
363,Van
364,Hulten
365,Agenda
366,Aktion
367,Türkei
368,Fahrzeug
369,Vorsorgeprinzip
370,Auto
371,Kosovo
372,Lebensmittelsicherheit
373,Menschenrecht
374,Frieden
375,Kommissionspräsident
376,EQUAL
377,LEADER
378,Geschichte
379,Demokratie
380,Israel
381,Ratspräsidentschaft
382,Ratspräsident
383,INTERREG
384,Haider
385,Hersteller
386,Altfahrzeug
387,URBAN
