0,1
wiesen,weisen
zusammengestoßen,zusammenstoßen
sagten,sagen
vorangegangen,vorangehen
sagten,sagen
abgeraten,abraten
fallengelassen,fallenlassen
bestohlen,bestehlen
vorangegangen,vorangehen
würden,werden
schworen,schwören
aufgefrischen,auffrischen
durchdrungen,durchdringen
bewaldet,bewalden
vorweggenommen,vorwegnehmen
saßen,sitzen
angeschnallt,anschnallen
abgespalten,abspalten
hervorgehoben,hervorheben
schrien,schreien
ausgestoßen,ausstoßen
abgeschoten,abschießen
rausgeschmissen,rauswerfen
abgewanden,abwenden
wären,sein
abgeblocken,abblocken
abgespecken,abspecken
aufgestoßen,aufstoßen
ernstgenommen,ernstnehmen
rausgeworfen,rauswerfen
herabgestuft,herabstufen
zurückgestuft,zurückstufen
hervorgingen,hervorgehen
eingeschläfert,einschläfern
herbeigezogen,herbeiziehen
vergaßen,vergessen
säßen,sitzen
heruntergekommen,herunterkommen
abgeflachen,abflachen
vorgefallen,vorfallen
abgefallen,abfallen
aufgepaßen,aufpassen
besäßen,besitzen
geschiehen,geschehen
totgeschwiegen,totschweigen
vorbeigekommen,vorbeikommen
schiefgelaufen,schiefgehen
angeraten,anraten
aufgeschlitzen,aufschlitzen
durchgesickert,durchsickern
zerstochen,zerstechen
hätten,haben
fraßen,fressen
schloßen,schließen
ausgeheckt,aushecken
zuvorgekommen,zuvorkommen
abgestufen,abstufen
abgesaugt,absaugen
hintergangen,hintergehen
kaputtgemacht,kaputtmachen
abgesägt,absägen
verloren,verlieren
abgewunken,abwinken
aufgefallen,auffallen
abgezockt,abzocken
hinausgeworfen,hinauswerfen
geschahen,geschehen
abgeschnitten,abschneiden
sagten,sagen
ließen,lassen
verstorben,sterben
rausgenommen,rausnehmen
sagten,sagen
genossen,genießen
verstarb,versterben
losgelöst,loslösen
